iter	Logloss
0	0.6781493163
1	0.6619181347
2	0.6485555368
3	0.6343342268
4	0.6213682314
5	0.6088575171
6	0.5980671663
7	0.5865421033
8	0.5750437111
9	0.5648483475
10	0.5555726977
11	0.5470488761
12	0.5389624238
13	0.5324798928
14	0.5243755432
15	0.5168358522
16	0.5101253764
17	0.5038597802
18	0.4974855816119	0.4914311337220	0.486146736821	0.4831811415
22	0.4779687155
23	0.4731554092
24	0.4685463146225	0.4648915607226	0.4608943027227	0.4566509634
28	0.452869883
29	0.4491159633
30	0.4452921326
31	0.4421405899
32	0.438857988
33	0.4360343146
34	0.4333504292
35	0.4304148742
36	0.4274536557
37	0.4245142041
38	0.4218837398
39	0.4194762909
40	0.4171909786
41	0.4149678149
42	0.4126481459
43	0.4106382374
44	0.408661805
45	0.4066202745
46	0.4046623411
47	0.4030596797
48	0.4014837095
49	0.3998863935
50	0.3982991351
51	0.3968679363
52	0.395561345
53	0.3940646101
54	0.3927130137
55	0.3913174128
56	0.3897696777
57	0.388764996
58	0.3874730853
59	0.3860513531
60	0.3850201791
61	0.3836606477
62	0.3826271161
63	0.3816913517
64	0.3807933311
65	0.3796432408
66	0.3785953408
67	0.3776136675
68	0.376804427
69	0.376016965
70	0.3751140826
71	0.3743874127
72	0.3735602786
73	0.3727588723
74	0.3719608484
75	0.3711970535
76	0.3704073347
77	0.3697589861
78	0.3690772905
79	0.3684969076
80	0.367703794
81	0.3670997326
82	0.3665089566
83	0.3658681001
84	0.365252491
85	0.3647739176
86	0.3642625321
87	0.3637298273
88	0.3631317986
89	0.3625147851
90	0.3618019572
91	0.3613129026
92	0.3608251542
93	0.3603443647
94	0.3597312376
95	0.3591726878
96	0.3587490554
97	0.3582268929
98	0.357740454
99	0.3571988477
100	0.3567585236
101	0.3563047257
102	0.3558801812
103	0.3554902471
104	0.3549983737
105	0.3544489574
106	0.3540597383
107	0.3536489685
108	0.3532059841
109	0.352768891
110	0.3522066103
111	0.3518115206
112	0.3514378723
113	0.3511058058
