iter	Passed	Remaining
408408	3336	48409409	3344	48410410	3351	48411411	3361	47412412	3369	47413413	3375	47414414	3385	47415415	3394	47416416	3399	47417417	3407	47418418	3419	47419419	3429	47420420	3435	47421421	3443	47422422	3451	47423423	3461	47424424	3469	46425425	3476	46426426	3485	46427427	3492	46428428	3500	46429429	3509	46430430	3518	46431431	3528	4639
432	3535	4630
433	3543	46434434	3550	46435435	3558	46436436	3565	45437437	3573	45438438	3581	45439439	3590	45440440	3599	45441441	3608	45442442	3615	45443443	3623	45444444	3631	45445445	3638	45446446	3644	45447447	3654	45448448	3664	4496
449	3671	44450450	3678	44451451	3686	44452452	3695	44453453	3703	44454454	3709	44455455	3715	44456456	3726	44457457	3733	44458458	3741	44459459	3747	43460	3769	4407
461461	3762	43462462	3769	43463463	3777	43464464	3785	43465465	3793	43466466	3802	43467467	3810	43468468	3818	43469469	3825	43470470	3833	43471471	3840	42472472	3849	42473473	3856	42474474	3863	42475475	3870	42476476	3882	42477477	3889	42478478	3899	42479479	3907	42480480	3913	42481481	3922	4215
482	3930	4206
483	3937	41484484	3944	41485485	3951	41486486	3958	41487487	3968	41488488	3978	4157
489	3986	4148
490	3995	4141
491	4002	4132
492	4016	4130
493	4022	4120
494	4030	4111
495	4039	4105
496	4047	4096
497	4054	4087
498	4063	4079
499	4071	4071
500	4077	4061
501	4086	4054
502	4093	4044
503	4099	4034
504	4110	4029
505	4118	4021
506	4129	4015
507	4136	4006
508	4145	3998
509	4155	3992
510	4163	3983
511	4171	3975
512	4179	3967
513	4188	3960
514	4195	3951
515	4205	3944
516	4213	3936
517	4221	3928
518	4230	3921
519	4239	3913
520	4246	3904
521	4254	3896
522	4262	3887
523	4271	3879
524	4277	3869
525	4283	3860
526	4290	3851
527	4298	3842
528	4306	3834
529	4313	3824
530	4320	3815
531	4327	3807
532	4336	3799
533	4343	3790
534	4350	3781
535	4358	3773
536	4366	3764
537	4373	37538538	4381	37539539	4390	37540540	4398	37541541	4407	37542542	4414	37543543	4423	3707
544	4430	36545545	4439	36546546	4448	36547547	4456	36548548	4465	36549549	4474	3660
550	4482	3652
551	4489	3643
552	4497	3635
553	4505	3627
554	4511	3617
555	4518	36556556	4525	35557557	4534	3592
558	4546	3586
559	4553	3577
560	4562	3570
561	4569	3561
562	4577	3552
563	4586	3545
564	4596	3539
565	4607	3532
566	4614	3524
567	4623	3516
568	4630	3507
569	4637	3498
570	4645	3489
571	4652	3481
572	4661	3473
573	4669	3465
574	4678	3458
575	4687	3450
576	4694	3441
577	4702	3433
578	4709	3424
579	4716	3415
580	4723	3406
581	4732	3398
582	4741	3391
583	4748	3382
584	4756	3374
585	4766	3367
586	4773	3358
587	4781	3350
588	4788	3341
589	4797	3334
590	4805	3325
591	4813	3317
592	4819	3308
593	4828	3300
594	4835	3291
595	4844	3284
596	4851	3275
597	4859	3266
598	4868	3259
599	4880	3253
600	4887	3244
601	4897	3238
602	4906	3230
603	4912	3220
604	4918	3211
605	4927	3203
606	4934	3195
607	4942	3186
608	4948	3177
609	4958	3170
610	4966	3161
611	4974	3153
612	4981	3144
613	4989	3136
614	4997	3128
615	5004	3119
616	5012	3111
617	5023	3104
618	5031	3097
619	5039	3088
620	5047	3080
621	5055	3072
622	5063	3064
623	5070	3055
624	5078	3047
625	5085	3038
626	5093	3030
627	5101	3021
628	5109	3013
629	5116	3005
630	5126	2997
631	5133	2989
632	5142	2981
633	5149	2972
634	5160	2966
635	5171	2959
636	5178	2950
637	5185	2941
638	5192	2933
639	5200	2925
640	5208	2916
641	5215	2908
642	5222	2899
643	5229	2890
644	5238	2882
645	5244	2873
646	5251	2865
647	5258	2856
648	5269	2849
649	5276	2841
650	5283	2832
651	5289	2823
652	5300	2816
653	5307	2808
654	5315	2799
655	5323	2791
656	5335	2785
657	5343	2777
658	5350	2768
659	5359	2761
660	5367	2752
661	5373	2743
662	5381	2735
663	5387	2726
664	5395	2717
665	5403	2709
666	5412	2702
667	5419	2693
668	5429	2686
669	5436	2677
670	5448	2671
671	5456	2663
672	5465	2655
673	5473	2647
674	5481	2639
675	5490	2631
676	5497	2623
677	5507	2615
678	5514	2606
679	5522	2598
680	5529	2590
681	5536	2581
682	5543	2572
683	5550	2564
684	5558	2556
685	5564	2547
686	5575	2540
687	5582	2531
688	5591	2523
689	5597	2515
690	5606	2507
691	5613	2498
692	5622	2490
693	5631	2482
694	5640	2475
695	5647	2466
696	5655	2458
697	5661	2449
698	5669	2441
699	5676	2432
700	5682	2423
701	5690	2415
702	5697	2407
703	5704	2398
704	5712	2390
705	5721	2382
706	5729	2374
707	5739	2367
708	5745	2358
709	5753	2349
710	5759	2341
711	5766	2332
712	5773	2324
713	5783	2316
714	5791	2308
715	5800	2300
716	5808	2292
717	5817	2284
718	5823	2275
719	5831	2267
720	5839	2259
721	5847	2251
722	5854	2243
723	5862	2234
724	5874	2228
725	5881	2219
726	5890	2211
727	5900	2204
728	5908	2196
729	5917	2188
730	5928	2181
731	5934	2172
732	5943	2165
733	5950	2156
734	5961	2149
735	5967	2140
736	5976	2132
737	5984	2124
738	5990	2115
739	5997	2107
740	6006	2099
741	6016	2091
742	6023	2083
743	6029	2074
744	6037	2066
745	6048	2059
746	6056	2051
747	6064	2043
748	6071	2034
749	6082	2027
750	6091	2019
751	6099	2011
752	6106	2003
753	6114	1994
754	6123	1987
755	6129	1978
756	6139	1970
757	6147	1962
758	6155	1954
759	6164	1946
760	6171	1938
761	6178	1929
762	6185	1921
763	6194	1913
764	6201	1905
765	6209	1896
766	6217	1888
767	6225	1880
768	6232	1872
769	6240	1864
770	6247	1855
771	6255	1847
772	6263	1839
